id;name;description;type;show_order;active
1;deliverables reinvent 24 hour;../fake-data/blob/hipster.txt;CATEGORY;71134;true
2;quantify Unbranded Plastic Tuna Frozen;../fake-data/blob/hipster.txt;PARAMETER;31098;true
3;payment;../fake-data/blob/hipster.txt;PARAMETER;38292;false
4;bus synthesize Idaho;../fake-data/blob/hipster.txt;PARAMETER;10789;false
5;Dynamic;../fake-data/blob/hipster.txt;CATEGORY;13933;false
6;relationships override;../fake-data/blob/hipster.txt;PARAMETER;28975;true
7;JSON;../fake-data/blob/hipster.txt;CATEGORY;45653;true
8;maroon;../fake-data/blob/hipster.txt;PARAMETER;31800;true
9;contextually-based;../fake-data/blob/hipster.txt;CATEGORY;30478;false
10;Borders;../fake-data/blob/hipster.txt;FE_TAG;33761;false
