id;name;description;section;type;show_order;active
1;Dominican Republic Credit Card Account Handmade;../fake-data/blob/hipster.txt;STATUS;FREETEXT;39882;true
2;Licensed hacking installation;../fake-data/blob/hipster.txt;ENHANCEMENT;ENUM;51209;true
3;turn-key;../fake-data/blob/hipster.txt;ENHANCEMENT;FREETEXT;67569;false
4;Concrete Global SMS;../fake-data/blob/hipster.txt;ENHANCEMENT;ENUM;55520;true
5;content-based Executive;../fake-data/blob/hipster.txt;ENHANCEMENT;ENUM;84666;true
6;AI optical invoice;../fake-data/blob/hipster.txt;STATUS;ENUM;10147;true
7;Supervisor clear-thinking;../fake-data/blob/hipster.txt;STATUS;ENUM;1807;false
8;circuit navigate;../fake-data/blob/hipster.txt;ENHANCEMENT;FREETEXT;9367;true
9;withdrawal Ergonomic;../fake-data/blob/hipster.txt;ENHANCEMENT;ENUM;64510;true
10;Cambridgeshire white sensor;../fake-data/blob/hipster.txt;ENHANCEMENT;FREETEXT;95392;false
